SKU,Categoría,Nombre del Servicio,Unidad,Tipo de Servicio,Modelo Comercial,Tier,Costo Interno (USD),Margen Agencia (%),Precio Final (USD),Precio Final (CLP),Precio Final (CLF),Precio Final (COP),Precio Final (MXN),Precio Final (PEN),Descripción breve / Alcance,Duración estimada,Unidad / Brand,Comentarios
EFG-001,Implementaciones MarTech,Onboarding HubSpot Marketing Pro,Proyecto,Proyecto / Implementación,On-Demand,Tier 4,1119.322222222222,0.55,1850,1850000,44.4,7770000,34225,7030,"Setup completo del portal Marketing Pro: automatizaciones, dashboards y training.",4–6 semanas,Wave,Incluye 1 capacitación y 1 QA final
EFG-002,Creatividad y Contenido,Servicio de Diseño Digital Full Funnel,Proyecto,Retainer,On-Demand,Tier 2,4900.25,0.45,7600,7600000,182.4,31920000,140600,28880,Servicio de Diseño Full-time para empresas,Mensual,Globe,Incluye 3 ronda de ajustes
EFG-003,Performance y Paid Media,Servicio de Performance y Paid Ads,Mes,Retainer,On-Going,Tier 2,1251.5,0.45,1820,1820000,43.68,7644000,33670,6916,Gestión integral de campañas + reporting mensual.,Mensual,Wave,Incluye optimización y dashboard
EFG-004,Consultoría Estratégica,Consultoría Go-To-Market Efeonce,Proyecto,Consultoría Estratégica,On-Demand,Tier 3,0,0.5,0,0,0,0,0,0,"Análisis, roadmap GTM y estructura comercial.",2 semanas,Efeonce,Workshop remoto + entrega ejecutiva
EFG-005,Automatización y CRM,Implementación CRM Sales Hub,Proyecto,Proyecto / Implementación,On-Demand,Tier 3,0,0.5,0,0,0,0,0,0,Implementación completa de Sales Hub Pro con pipelines y dashboards.,4 semanas,Wave,Incluye capacitación de equipos
EFG-006,AEO / SEO Técnico,Auditoría Técnica AEO,Proyecto,Proyecto / Servicio Técnico,On-Demand,Tier 2,0,0.45,0,0,0,0,0,0,Diagnóstico completo AEO + plan de acción técnico.,2 semanas,Wave,Ideal previo a optimización
EFG-007,Retainers Integrales,Retainer Loop Marketing,Mes,Retainer,On-Going,Tier 3,0,0.5,0,0,0,0,0,0,"Retainer mensual de estrategia, contenido y performance.",Mensual,Efeonce / Globe / Wave / Reach,Full funnel con reporting mensual
EFG-008,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-009,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-010,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-011,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-012,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-013,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-014,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-015,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-016,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-017,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-018,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-019,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-020,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-021,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-022,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-023,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-024,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-025,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-026,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-027,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-028,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-029,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-030,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-031,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-032,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-033,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-034,,,,,,,0,,Verificar tier/modelo,,,,,,,,,
EFG-035,,,,,,,0,,,0,0,0,0,0,,,,
EFG-036,,,,,,,0,,,0,0,0,0,0,,,,
EFG-037,,,,,,,0,,,0,0,0,0,0,,,,
EFG-038,,,,,,,0,,,0,0,0,0,0,,,,
EFG-039,,,,,,,0,,,0,0,0,0,0,,,,
EFG-040,,,,,,,0,,,0,0,0,0,0,,,,
EFG-041,,,,,,,0,,,0,0,0,0,0,,,,
EFG-042,,,,,,,0,,,0,0,0,0,0,,,,
EFG-043,,,,,,,0,,,0,0,0,0,0,,,,
EFG-044,,,,,,,0,,,0,0,0,0,0,,,,
EFG-045,,,,,,,0,,,0,0,0,0,0,,,,
EFG-046,,,,,,,,,,0,0,0,0,0,,,,
EFG-047,,,,,,,,,,0,0,0,0,0,,,,
EFG-048,,,,,,,,,,0,0,0,0,0,,,,
EFG-049,,,,,,,,,,0,0,0,0,0,,,,
EFG-050,,,,,,,,,,0,0,0,0,0,,,,
